"city","week_date","year","month","chart_rank","demand_score","song","artist","track_id","artist_id","artist_genres","primary_genre"
"Calgary","2025-01-02",2025,"Jan",1,100,"That’s So True","Gracie Abrams","","","",""
"Calgary","2025-01-02",2025,"Jan",2,99,"Die With A Smile","Lady Gaga, Bruno Mars","","","",""
"Calgary","2025-01-02",2025,"Jan",3,98,"APT.","ROSÉ, Bruno Mars","","","",""
"Calgary","2025-01-02",2025,"Jan",4,97,"BIRDS OF A FEATHER","Billie Eilish","","","",""
"Calgary","2025-01-02",2025,"Jan",5,96,"luther (with sza)","Kendrick Lamar, SZA","","","",""
"Calgary","2025-01-02",2025,"Jan",6,95,"A Bar Song (Tipsy)","Shaboozey","","","",""
"Calgary","2025-01-02",2025,"Jan",7,94,"Good Luck, Babe!","Chappell Roan","","","",""
"Calgary","2025-01-02",2025,"Jan",8,93,"Espresso","Sabrina Carpenter","","","",""
"Calgary","2025-01-02",2025,"Jan",9,92,"I Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen","","","",""
"Calgary","2025-01-02",2025,"Jan",10,91,"Beautiful Things","Benson Boone","","","",""
"Calgary","2025-01-02",2025,"Jan",11,90,"Sailor Song","Gigi Perez","","","",""
"Calgary","2025-01-02",2025,"Jan",12,89,"Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","","","",""
"Calgary","2025-01-02",2025,"Jan",13,88,"Taste","Sabrina Carpenter","","","",""
"Calgary","2025-01-02",2025,"Jan",14,87,"BMF","SZA","","","",""
"Calgary","2025-01-02",2025,"Jan",15,86,"tv off (feat. lefty gunplay)","Kendrick Lamar, Lefty Gunplay","","","",""
"Calgary","2025-01-02",2025,"Jan",16,85,"Lose Control","Teddy Swims","","","",""
"Calgary","2025-01-02",2025,"Jan",17,84,"Stick Season","Noah Kahan","","","",""
"Calgary","2025-01-02",2025,"Jan",18,83,"Too Sweet","Hozier","","","",""
"Calgary","2025-01-02",2025,"Jan",19,82,"Messy","Lola Young","","","",""
"Calgary","2025-01-02",2025,"Jan",20,81,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","","","",""
"Calgary","2025-01-02",2025,"Jan",21,80,"Austin (Boots Stop Workin')","Dasha","","","",""
"Calgary","2025-01-02",2025,"Jan",22,79,"I Remember Everything (feat. Kacey Musgraves)","Zach Bryan, Kacey Musgraves","","","",""
"Calgary","2025-01-02",2025,"Jan",23,78,"Please Please Please","Sabrina Carpenter","","","",""
"Calgary","2025-01-02",2025,"Jan",24,77,"I Love You, I'm Sorry","Gracie Abrams","","","",""
"Calgary","2025-01-02",2025,"Jan",25,76,"Something in the Orange","Zach Bryan","","","",""
