"city","week_date","year","month","chart_rank","demand_score","song","artist","track_id","artist_id","artist_genres","primary_genre"
"Detroit","2025-01-02",2025,"Jan",1,100,"That’s So True","Gracie Abrams","","","",""
"Detroit","2025-01-02",2025,"Jan",2,99,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","","","",""
"Detroit","2025-01-02",2025,"Jan",3,98,"tv off (feat. lefty gunplay)","Kendrick Lamar, Lefty Gunplay","","","",""
"Detroit","2025-01-02",2025,"Jan",4,97,"luther (with sza)","Kendrick Lamar, SZA","","","",""
"Detroit","2025-01-02",2025,"Jan",5,96,"Die With A Smile","Lady Gaga, Bruno Mars","","","",""
"Detroit","2025-01-02",2025,"Jan",6,95,"squabble up","Kendrick Lamar","","","",""
"Detroit","2025-01-02",2025,"Jan",7,94,"BIRDS OF A FEATHER","Billie Eilish","","","",""
"Detroit","2025-01-02",2025,"Jan",8,93,"WHATCHU KNO ABOUT ME (feat. Sexyy Red)","GloRilla, Sexyy Red","","","",""
"Detroit","2025-01-02",2025,"Jan",9,92,"A Bar Song (Tipsy)","Shaboozey","","","",""
"Detroit","2025-01-02",2025,"Jan",10,91,"Sailor Song","Gigi Perez","","","",""
"Detroit","2025-01-02",2025,"Jan",11,90,"Good Luck, Babe!","Chappell Roan","","","",""
"Detroit","2025-01-02",2025,"Jan",12,89,"I Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen","","","",""
"Detroit","2025-01-02",2025,"Jan",13,88,"Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","","","",""
"Detroit","2025-01-02",2025,"Jan",14,87,"Not Like Us","Kendrick Lamar","","","",""
"Detroit","2025-01-02",2025,"Jan",15,86,"APT.","ROSÉ, Bruno Mars","","","",""
"Detroit","2025-01-02",2025,"Jan",16,85,"For 30 (with Kendrick Lamar)","SZA, Kendrick Lamar","","","",""
"Detroit","2025-01-02",2025,"Jan",17,84,"Taste","Sabrina Carpenter","","","",""
"Detroit","2025-01-02",2025,"Jan",18,83,"Lose Control","Teddy Swims","","","",""
"Detroit","2025-01-02",2025,"Jan",19,82,"Espresso","Sabrina Carpenter","","","",""
"Detroit","2025-01-02",2025,"Jan",20,81,"BMF","SZA","","","",""
"Detroit","2025-01-02",2025,"Jan",21,80,"Messy","Lola Young","","","",""
"Detroit","2025-01-02",2025,"Jan",22,79,"Like Him (feat. Lola Young)","Tyler, The Creator, Lola Young","","","",""
"Detroit","2025-01-02",2025,"Jan",23,78,"HOT TO GO!","Chappell Roan","","","",""
