"city","week_date","year","month","chart_rank","demand_score","song","artist","track_id","artist_id","artist_genres","primary_genre"
"Las Vegas","2025-01-02",2025,"Jan",1,100,"luther (with sza)","Kendrick Lamar, SZA","","","",""
"Las Vegas","2025-01-02",2025,"Jan",2,99,"Die With A Smile","Lady Gaga, Bruno Mars","","","",""
"Las Vegas","2025-01-02",2025,"Jan",3,98,"tv off (feat. lefty gunplay)","Kendrick Lamar, Lefty Gunplay","","","",""
"Las Vegas","2025-01-02",2025,"Jan",4,97,"BIRDS OF A FEATHER","Billie Eilish","","","",""
"Las Vegas","2025-01-02",2025,"Jan",5,96,"APT.","ROSÉ, Bruno Mars","","","",""
"Las Vegas","2025-01-02",2025,"Jan",6,95,"squabble up","Kendrick Lamar","","","",""
"Las Vegas","2025-01-02",2025,"Jan",7,94,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","","","",""
"Las Vegas","2025-01-02",2025,"Jan",8,93,"That’s So True","Gracie Abrams","","","",""
"Las Vegas","2025-01-02",2025,"Jan",9,92,"Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","","","",""
"Las Vegas","2025-01-02",2025,"Jan",10,91,"Like Him (feat. Lola Young)","Tyler, The Creator, Lola Young","","","",""
"Las Vegas","2025-01-02",2025,"Jan",11,90,"Good Luck, Babe!","Chappell Roan","","","",""
"Las Vegas","2025-01-02",2025,"Jan",12,89,"For 30 (with Kendrick Lamar)","SZA, Kendrick Lamar","","","",""
"Las Vegas","2025-01-02",2025,"Jan",13,88,"Espresso","Sabrina Carpenter","","","",""
"Las Vegas","2025-01-02",2025,"Jan",14,87,"BMF","SZA","","","",""
"Las Vegas","2025-01-02",2025,"Jan",15,86,"See You Again (feat. Kali Uchis)","Tyler, The Creator, Kali Uchis","","","",""
"Las Vegas","2025-01-02",2025,"Jan",16,85,"No One Noticed","The Marías","","","",""
"Las Vegas","2025-01-02",2025,"Jan",17,84,"Not Like Us","Kendrick Lamar","","","",""
"Las Vegas","2025-01-02",2025,"Jan",18,83,"Snooze","SZA","","","",""
"Las Vegas","2025-01-02",2025,"Jan",19,82,"Taste","Sabrina Carpenter","","","",""
"Las Vegas","2025-01-02",2025,"Jan",20,81,"Sailor Song","Gigi Perez","","","",""
"Las Vegas","2025-01-02",2025,"Jan",21,80,"Kill Bill","SZA","","","",""
"Las Vegas","2025-01-02",2025,"Jan",22,79,"WILDFLOWER","Billie Eilish","","","",""
