"city","week_date","year","month","chart_rank","demand_score","song","artist","track_id","artist_id","artist_genres","primary_genre"
"Los Angeles","2025-01-02",2025,"Jan",1,100,"luther (with sza)","Kendrick Lamar, SZA","","","",""
"Los Angeles","2025-01-02",2025,"Jan",2,99,"tv off (feat. lefty gunplay)","Kendrick Lamar, Lefty Gunplay","","","",""
"Los Angeles","2025-01-02",2025,"Jan",3,98,"BIRDS OF A FEATHER","Billie Eilish","","","",""
"Los Angeles","2025-01-02",2025,"Jan",4,97,"Die With A Smile","Lady Gaga, Bruno Mars","","","",""
"Los Angeles","2025-01-02",2025,"Jan",5,96,"squabble up","Kendrick Lamar","","","",""
"Los Angeles","2025-01-02",2025,"Jan",6,95,"APT.","ROSÉ, Bruno Mars","","","",""
"Los Angeles","2025-01-02",2025,"Jan",7,94,"For 30 (with Kendrick Lamar)","SZA, Kendrick Lamar","","","",""
"Los Angeles","2025-01-02",2025,"Jan",8,93,"BMF","SZA","","","",""
"Los Angeles","2025-01-02",2025,"Jan",9,92,"That’s So True","Gracie Abrams","","","",""
"Los Angeles","2025-01-02",2025,"Jan",10,91,"Good Luck, Babe!","Chappell Roan","","","",""
"Los Angeles","2025-01-02",2025,"Jan",11,90,"Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","","","",""
"Los Angeles","2025-01-02",2025,"Jan",12,89,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","","","",""
"Los Angeles","2025-01-02",2025,"Jan",13,88,"hey now (feat. dody6)","Kendrick Lamar, Dody6","","","",""
"Los Angeles","2025-01-02",2025,"Jan",14,87,"Espresso","Sabrina Carpenter","","","",""
"Los Angeles","2025-01-02",2025,"Jan",15,86,"Not Like Us","Kendrick Lamar","","","",""
"Los Angeles","2025-01-02",2025,"Jan",16,85,"No One Noticed","The Marías","","","",""
"Los Angeles","2025-01-02",2025,"Jan",17,84,"Like Him (feat. Lola Young)","Tyler, The Creator, Lola Young","","","",""
"Los Angeles","2025-01-02",2025,"Jan",18,83,"Taste","Sabrina Carpenter","","","",""
"Los Angeles","2025-01-02",2025,"Jan",19,82,"Tu Boda","Oscar Maydon, Fuerza Regida","","","",""
"Los Angeles","2025-01-02",2025,"Jan",20,81,"Snooze","SZA","","","",""
