"city","week_date","year","month","chart_rank","demand_score","song","artist","track_id","artist_id","artist_genres","primary_genre"
"Miami","2025-01-02",2025,"Jan",1,100,"Die With A Smile","Lady Gaga, Bruno Mars","","","",""
"Miami","2025-01-02",2025,"Jan",2,99,"Qué Pasaría...","Rauw Alejandro, Bad Bunny","","","",""
"Miami","2025-01-02",2025,"Jan",3,98,"That’s So True","Gracie Abrams","","","",""
"Miami","2025-01-02",2025,"Jan",4,97,"BIRDS OF A FEATHER","Billie Eilish","","","",""
"Miami","2025-01-02",2025,"Jan",5,96,"Si Antes Te Hubiera Conocido","KAROL G","","","",""
"Miami","2025-01-02",2025,"Jan",6,95,"APT.","ROSÉ, Bruno Mars","","","",""
"Miami","2025-01-02",2025,"Jan",7,94,"Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","","","",""
"Miami","2025-01-02",2025,"Jan",8,93,"Khé?","Rauw Alejandro, Romeo Santos","","","",""
"Miami","2025-01-02",2025,"Jan",9,92,"luther (with sza)","Kendrick Lamar, SZA","","","",""
"Miami","2025-01-02",2025,"Jan",10,91,"EL CLúB","Bad Bunny","","","",""
"Miami","2025-01-02",2025,"Jan",11,90,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","","","",""
"Miami","2025-01-02",2025,"Jan",12,89,"tv off (feat. lefty gunplay)","Kendrick Lamar, Lefty Gunplay","","","",""
"Miami","2025-01-02",2025,"Jan",13,88,"PIToRRO DE COCO","Bad Bunny","","","",""
"Miami","2025-01-02",2025,"Jan",14,87,"Espresso","Sabrina Carpenter","","","",""
"Miami","2025-01-02",2025,"Jan",15,86,"Good Luck, Babe!","Chappell Roan","","","",""
"Miami","2025-01-02",2025,"Jan",16,85,"DEGENERE 👑 (feat. benny blanco)","Myke Towers, benny blanco","","","",""
"Miami","2025-01-02",2025,"Jan",17,84,"Imagínate","Danny Ocean, Kapo","","","",""
"Miami","2025-01-02",2025,"Jan",18,83,"Lose Control","Teddy Swims","","","",""
"Miami","2025-01-02",2025,"Jan",19,82,"mi refe","Beéle, Ovy On The Drums","","","",""
"Miami","2025-01-02",2025,"Jan",20,81,"A Bar Song (Tipsy)","Shaboozey","","","",""
"Miami","2025-01-02",2025,"Jan",21,80,"LUNA","Feid, ATL Jacob","","","",""
"Miami","2025-01-02",2025,"Jan",22,79,"Taste","Sabrina Carpenter","","","",""
"Miami","2025-01-02",2025,"Jan",23,78,"Messy","Lola Young","","","",""
"Miami","2025-01-02",2025,"Jan",24,77,"I Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen","","","",""
"Miami","2025-01-02",2025,"Jan",25,76,"No Pole","Don Toliver","","","",""
"Miami","2025-01-02",2025,"Jan",26,75,"Like Him (feat. Lola Young)","Tyler, The Creator, Lola Young","","","",""
"Miami","2025-01-02",2025,"Jan",27,74,"capaz (merengueton)","Alleh, Yorghaki","","","",""
"Miami","2025-01-02",2025,"Jan",28,73,"PERRO NEGRO","Bad Bunny, Feid","","","",""
"Miami","2025-01-02",2025,"Jan",29,72,"Beautiful Things","Benson Boone","","","",""
