"city","week_date","year","month","chart_rank","demand_score","song","artist","track_id","artist_id","artist_genres","primary_genre"
"New York","2025-01-02",2025,"Jan",1,100,"That’s So True","Gracie Abrams","","","",""
"New York","2025-01-02",2025,"Jan",2,99,"Die With A Smile","Lady Gaga, Bruno Mars","","","",""
"New York","2025-01-02",2025,"Jan",3,98,"BIRDS OF A FEATHER","Billie Eilish","","","",""
"New York","2025-01-02",2025,"Jan",4,97,"luther (with sza)","Kendrick Lamar, SZA","","","",""
"New York","2025-01-02",2025,"Jan",5,96,"APT.","ROSÉ, Bruno Mars","","","",""
"New York","2025-01-02",2025,"Jan",6,95,"Good Luck, Babe!","Chappell Roan","","","",""
"New York","2025-01-02",2025,"Jan",7,94,"Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","","","",""
"New York","2025-01-02",2025,"Jan",8,93,"BMF","SZA","","","",""
"New York","2025-01-02",2025,"Jan",9,92,"Espresso","Sabrina Carpenter","","","",""
"New York","2025-01-02",2025,"Jan",10,91,"tv off (feat. lefty gunplay)","Kendrick Lamar, Lefty Gunplay","","","",""
"New York","2025-01-02",2025,"Jan",11,90,"Taste","Sabrina Carpenter","","","",""
"New York","2025-01-02",2025,"Jan",12,89,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","","","",""
"New York","2025-01-02",2025,"Jan",13,88,"For 30 (with Kendrick Lamar)","SZA, Kendrick Lamar","","","",""
"New York","2025-01-02",2025,"Jan",14,87,"Messy","Lola Young","","","",""
"New York","2025-01-02",2025,"Jan",15,86,"Sailor Song","Gigi Perez","","","",""
"New York","2025-01-02",2025,"Jan",16,85,"squabble up","Kendrick Lamar","","","",""
"New York","2025-01-02",2025,"Jan",17,84,"HOT TO GO!","Chappell Roan","","","",""
"New York","2025-01-02",2025,"Jan",18,83,"Please Please Please","Sabrina Carpenter","","","",""
"New York","2025-01-02",2025,"Jan",19,82,"Scorsese Baby Daddy","SZA","","","",""
"New York","2025-01-02",2025,"Jan",20,81,"Snooze","SZA","","","",""
"New York","2025-01-02",2025,"Jan",21,80,"A Bar Song (Tipsy)","Shaboozey","","","",""
"New York","2025-01-02",2025,"Jan",22,79,"Qué Pasaría...","Rauw Alejandro, Bad Bunny","","","",""
"New York","2025-01-02",2025,"Jan",23,78,"Kill Bill","SZA","","","",""
"New York","2025-01-02",2025,"Jan",24,77,"I Love You, I'm Sorry","Gracie Abrams","","","",""
"New York","2025-01-02",2025,"Jan",25,76,"Like Him (feat. Lola Young)","Tyler, The Creator, Lola Young","","","",""
"New York","2025-01-02",2025,"Jan",26,75,"I Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen","","","",""
"New York","2025-01-02",2025,"Jan",27,74,"Pink Pony Club","Chappell Roan","","","",""
"New York","2025-01-02",2025,"Jan",28,73,"Saturn","SZA","","","",""
"New York","2025-01-02",2025,"Jan",29,72,"Not Like Us","Kendrick Lamar","","","",""
"New York","2025-01-02",2025,"Jan",30,71,"Lose Control","Teddy Swims","","","",""
"New York","2025-01-02",2025,"Jan",31,70,"No Pole","Don Toliver","","","",""
"New York","2025-01-02",2025,"Jan",32,69,"WILDFLOWER","Billie Eilish","","","",""
"New York","2025-01-02",2025,"Jan",33,68,"Bed Chem","Sabrina Carpenter","","","",""
"New York","2025-01-02",2025,"Jan",34,67,"MILLION DOLLAR BABY","Tommy Richman","","","",""
"New York","2025-01-02",2025,"Jan",35,66,"See You Again (feat. Kali Uchis)","Tyler, The Creator, Kali Uchis","","","",""
"New York","2025-01-02",2025,"Jan",36,65,"What Do I Do","SZA","","","",""
"New York","2025-01-02",2025,"Jan",37,64,"we can't be friends (wait for your love)","Ariana Grande","","","",""
"New York","2025-01-02",2025,"Jan",38,63,"Beautiful Things","Benson Boone","","","",""
"New York","2025-01-02",2025,"Jan",39,62,"WHATCHU KNO ABOUT ME (feat. Sexyy Red)","GloRilla, Sexyy Red","","","",""
"New York","2025-01-02",2025,"Jan",40,61,"Too Sweet","Hozier","","","",""
"New York","2025-01-02",2025,"Jan",41,60,"No One Noticed","The Marías","","","",""
"New York","2025-01-02",2025,"Jan",42,59,"Diamond Boy (DTM)","SZA","","","",""
