"city","week_date","year","month","chart_rank","demand_score","song","artist","track_id","artist_id","artist_genres","primary_genre"
"San Francisco","2025-01-02",2025,"Jan",1,100,"luther (with sza)","Kendrick Lamar, SZA","","","",""
"San Francisco","2025-01-02",2025,"Jan",2,99,"BIRDS OF A FEATHER","Billie Eilish","","","",""
"San Francisco","2025-01-02",2025,"Jan",3,98,"Die With A Smile","Lady Gaga, Bruno Mars","","","",""
"San Francisco","2025-01-02",2025,"Jan",4,97,"APT.","ROSÉ, Bruno Mars","","","",""
"San Francisco","2025-01-02",2025,"Jan",5,96,"tv off (feat. lefty gunplay)","Kendrick Lamar, Lefty Gunplay","","","",""
"San Francisco","2025-01-02",2025,"Jan",6,95,"BMF","SZA","","","",""
"San Francisco","2025-01-02",2025,"Jan",7,94,"That’s So True","Gracie Abrams","","","",""
"San Francisco","2025-01-02",2025,"Jan",8,93,"Good Luck, Babe!","Chappell Roan","","","",""
"San Francisco","2025-01-02",2025,"Jan",9,92,"squabble up","Kendrick Lamar","","","",""
"San Francisco","2025-01-02",2025,"Jan",10,91,"For 30 (with Kendrick Lamar)","SZA, Kendrick Lamar","","","",""
"San Francisco","2025-01-02",2025,"Jan",11,90,"Espresso","Sabrina Carpenter","","","",""
"San Francisco","2025-01-02",2025,"Jan",12,89,"Taste","Sabrina Carpenter","","","",""
"San Francisco","2025-01-02",2025,"Jan",13,88,"Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","","","",""
"San Francisco","2025-01-02",2025,"Jan",14,87,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","","","",""
"San Francisco","2025-01-02",2025,"Jan",15,86,"Scorsese Baby Daddy","SZA","","","",""
"San Francisco","2025-01-02",2025,"Jan",16,85,"Messy","Lola Young","","","",""
"San Francisco","2025-01-02",2025,"Jan",17,84,"Snooze","SZA","","","",""
"San Francisco","2025-01-02",2025,"Jan",18,83,"HOT TO GO!","Chappell Roan","","","",""
"San Francisco","2025-01-02",2025,"Jan",19,82,"Please Please Please","Sabrina Carpenter","","","",""
"San Francisco","2025-01-02",2025,"Jan",20,81,"Not Like Us","Kendrick Lamar","","","",""
"San Francisco","2025-01-02",2025,"Jan",21,80,"Saturn","SZA","","","",""
"San Francisco","2025-01-02",2025,"Jan",22,79,"Kill Bill","SZA","","","",""
"San Francisco","2025-01-02",2025,"Jan",23,78,"What Do I Do","SZA","","","",""
"San Francisco","2025-01-02",2025,"Jan",24,77,"No One Noticed","The Marías","","","",""
"San Francisco","2025-01-02",2025,"Jan",25,76,"Bed Chem","Sabrina Carpenter","","","",""
"San Francisco","2025-01-02",2025,"Jan",26,75,"Pink Pony Club","Chappell Roan","","","",""
"San Francisco","2025-01-02",2025,"Jan",27,74,"hey now (feat. dody6)","Kendrick Lamar, Dody6","","","",""
"San Francisco","2025-01-02",2025,"Jan",28,73,"Sailor Song","Gigi Perez","","","",""
"San Francisco","2025-01-02",2025,"Jan",29,72,"A Bar Song (Tipsy)","Shaboozey","","","",""
"San Francisco","2025-01-02",2025,"Jan",30,71,"Diamond Boy (DTM)","SZA","","","",""
"San Francisco","2025-01-02",2025,"Jan",31,70,"Kitchen","SZA","","","",""
"San Francisco","2025-01-02",2025,"Jan",32,69,"Tu Boda","Oscar Maydon, Fuerza Regida","","","",""
"San Francisco","2025-01-02",2025,"Jan",33,68,"Like Him (feat. Lola Young)","Tyler, The Creator, Lola Young","","","",""
"San Francisco","2025-01-02",2025,"Jan",34,67,"I Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen","","","",""
"San Francisco","2025-01-02",2025,"Jan",35,66,"WILDFLOWER","Billie Eilish","","","",""
"San Francisco","2025-01-02",2025,"Jan",36,65,"Crybaby","SZA","","","",""
"San Francisco","2025-01-02",2025,"Jan",37,64,"ROSONES","Tito Double P","","","",""
"San Francisco","2025-01-02",2025,"Jan",38,63,"Another Life","SZA","","","",""
"San Francisco","2025-01-02",2025,"Jan",39,62,"Lose Control","Teddy Swims","","","",""
"San Francisco","2025-01-02",2025,"Jan",40,61,"MILLION DOLLAR BABY","Tommy Richman","","","",""
"San Francisco","2025-01-02",2025,"Jan",41,60,"Drive","SZA","","","",""
"San Francisco","2025-01-02",2025,"Jan",42,59,"DOS DÍAS","Tito Double P, Peso Pluma","","","",""
"San Francisco","2025-01-02",2025,"Jan",43,58,"See You Again (feat. Kali Uchis)","Tyler, The Creator, Kali Uchis","","","",""
"San Francisco","2025-01-02",2025,"Jan",44,57,"Too Sweet","Hozier","","","",""
"San Francisco","2025-01-02",2025,"Jan",45,56,"we can't be friends (wait for your love)","Ariana Grande","","","",""
