"city","week_date","year","month","chart_rank","demand_score","song","artist","track_id","artist_id","artist_genres","primary_genre"
"Toronto","2025-01-02",2025,"Jan",1,100,"That’s So True","Gracie Abrams","","","",""
"Toronto","2025-01-02",2025,"Jan",2,99,"Die With A Smile","Lady Gaga, Bruno Mars","","","",""
"Toronto","2025-01-02",2025,"Jan",3,98,"APT.","ROSÉ, Bruno Mars","","","",""
"Toronto","2025-01-02",2025,"Jan",4,97,"BIRDS OF A FEATHER","Billie Eilish","","","",""
"Toronto","2025-01-02",2025,"Jan",5,96,"luther (with sza)","Kendrick Lamar, SZA","","","",""
"Toronto","2025-01-02",2025,"Jan",6,95,"Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","","","",""
"Toronto","2025-01-02",2025,"Jan",7,94,"Good Luck, Babe!","Chappell Roan","","","",""
"Toronto","2025-01-02",2025,"Jan",8,93,"Espresso","Sabrina Carpenter","","","",""
"Toronto","2025-01-02",2025,"Jan",9,92,"A Bar Song (Tipsy)","Shaboozey","","","",""
"Toronto","2025-01-02",2025,"Jan",10,91,"Taste","Sabrina Carpenter","","","",""
"Toronto","2025-01-02",2025,"Jan",11,90,"I Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen","","","",""
"Toronto","2025-01-02",2025,"Jan",12,89,"BMF","SZA","","","",""
"Toronto","2025-01-02",2025,"Jan",13,88,"tv off (feat. lefty gunplay)","Kendrick Lamar, Lefty Gunplay","","","",""
"Toronto","2025-01-02",2025,"Jan",14,87,"Messy","Lola Young","","","",""
"Toronto","2025-01-02",2025,"Jan",15,86,"For 30 (with Kendrick Lamar)","SZA, Kendrick Lamar","","","",""
"Toronto","2025-01-02",2025,"Jan",16,85,"Beautiful Things","Benson Boone","","","",""
"Toronto","2025-01-02",2025,"Jan",17,84,"Lose Control","Teddy Swims","","","",""
"Toronto","2025-01-02",2025,"Jan",18,83,"Sailor Song","Gigi Perez","","","",""
"Toronto","2025-01-02",2025,"Jan",19,82,"I Love You, I'm Sorry","Gracie Abrams","","","",""
"Toronto","2025-01-02",2025,"Jan",20,81,"Please Please Please","Sabrina Carpenter","","","",""
"Toronto","2025-01-02",2025,"Jan",21,80,"Snooze","SZA","","","",""
"Toronto","2025-01-02",2025,"Jan",22,79,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","","","",""
"Toronto","2025-01-02",2025,"Jan",23,78,"squabble up","Kendrick Lamar","","","",""
"Toronto","2025-01-02",2025,"Jan",24,77,"Kill Bill","SZA","","","",""
"Toronto","2025-01-02",2025,"Jan",25,76,"Too Sweet","Hozier","","","",""
"Toronto","2025-01-02",2025,"Jan",26,75,"MILLION DOLLAR BABY","Tommy Richman","","","",""
"Toronto","2025-01-02",2025,"Jan",27,74,"on one tonight","Gunna","","","",""
"Toronto","2025-01-02",2025,"Jan",28,73,"Stick Season","Noah Kahan","","","",""
"Toronto","2025-01-02",2025,"Jan",29,72,"HOT TO GO!","Chappell Roan","","","",""
"Toronto","2025-01-02",2025,"Jan",30,71,"Not Like Us","Kendrick Lamar","","","",""
"Toronto","2025-01-02",2025,"Jan",31,70,"No Pole","Don Toliver","","","",""
"Toronto","2025-01-02",2025,"Jan",32,69,"Saturn","SZA","","","",""
"Toronto","2025-01-02",2025,"Jan",33,68,"Austin (Boots Stop Workin')","Dasha","","","",""
"Toronto","2025-01-02",2025,"Jan",34,67,"Cruel Summer","Taylor Swift","","","",""
"Toronto","2025-01-02",2025,"Jan",35,66,"Bed Chem","Sabrina Carpenter","","","",""
"Toronto","2025-01-02",2025,"Jan",36,65,"we can't be friends (wait for your love)","Ariana Grande","","","",""
"Toronto","2025-01-02",2025,"Jan",37,64,"WILDFLOWER","Billie Eilish","","","",""
"Toronto","2025-01-02",2025,"Jan",38,63,"Pink Pony Club","Chappell Roan","","","",""
"Toronto","2025-01-02",2025,"Jan",39,62,"I Remember Everything (feat. Kacey Musgraves)","Zach Bryan, Kacey Musgraves","","","",""
"Toronto","2025-01-02",2025,"Jan",40,61,"WHATCHU KNO ABOUT ME (feat. Sexyy Red)","GloRilla, Sexyy Red","","","",""
"Toronto","2025-01-02",2025,"Jan",41,60,"PUSH 2 START","Tyla","","","",""
