"city","week_date","year","month","chart_rank","demand_score","song","artist","track_id","artist_id","artist_genres","primary_genre"
"Vancouver","2025-01-02",2025,"Jan",1,100,"That’s So True","Gracie Abrams","","","",""
"Vancouver","2025-01-02",2025,"Jan",2,99,"APT.","ROSÉ, Bruno Mars","","","",""
"Vancouver","2025-01-02",2025,"Jan",3,98,"BIRDS OF A FEATHER","Billie Eilish","","","",""
"Vancouver","2025-01-02",2025,"Jan",4,97,"Die With A Smile","Lady Gaga, Bruno Mars","","","",""
"Vancouver","2025-01-02",2025,"Jan",5,96,"luther (with sza)","Kendrick Lamar, SZA","","","",""
"Vancouver","2025-01-02",2025,"Jan",6,95,"Good Luck, Babe!","Chappell Roan","","","",""
"Vancouver","2025-01-02",2025,"Jan",7,94,"Espresso","Sabrina Carpenter","","","",""
"Vancouver","2025-01-02",2025,"Jan",8,93,"A Bar Song (Tipsy)","Shaboozey","","","",""
"Vancouver","2025-01-02",2025,"Jan",9,92,"I Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen","","","",""
"Vancouver","2025-01-02",2025,"Jan",10,91,"BMF","SZA","","","",""
"Vancouver","2025-01-02",2025,"Jan",11,90,"Taste","Sabrina Carpenter","","","",""
"Vancouver","2025-01-02",2025,"Jan",12,89,"Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","","","",""
"Vancouver","2025-01-02",2025,"Jan",13,88,"Messy","Lola Young","","","",""
"Vancouver","2025-01-02",2025,"Jan",14,87,"Beautiful Things","Benson Boone","","","",""
"Vancouver","2025-01-02",2025,"Jan",15,86,"Lose Control","Teddy Swims","","","",""
"Vancouver","2025-01-02",2025,"Jan",16,85,"tv off (feat. lefty gunplay)","Kendrick Lamar, Lefty Gunplay","","","",""
"Vancouver","2025-01-02",2025,"Jan",17,84,"Please Please Please","Sabrina Carpenter","","","",""
"Vancouver","2025-01-02",2025,"Jan",18,83,"Sailor Song","Gigi Perez","","","",""
"Vancouver","2025-01-02",2025,"Jan",19,82,"For 30 (with Kendrick Lamar)","SZA, Kendrick Lamar","","","",""
"Vancouver","2025-01-02",2025,"Jan",20,81,"Too Sweet","Hozier","","","",""
"Vancouver","2025-01-02",2025,"Jan",21,80,"I Love You, I'm Sorry","Gracie Abrams","","","",""
"Vancouver","2025-01-02",2025,"Jan",22,79,"squabble up","Kendrick Lamar","","","",""
"Vancouver","2025-01-02",2025,"Jan",23,78,"MILLION DOLLAR BABY","Tommy Richman","","","",""
"Vancouver","2025-01-02",2025,"Jan",24,77,"Stick Season","Noah Kahan","","","",""
"Vancouver","2025-01-02",2025,"Jan",25,76,"Cruel Summer","Taylor Swift","","","",""
"Vancouver","2025-01-02",2025,"Jan",26,75,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","","","",""
"Vancouver","2025-01-02",2025,"Jan",27,74,"HOT TO GO!","Chappell Roan","","","",""
"Vancouver","2025-01-02",2025,"Jan",28,73,"Snooze","SZA","","","",""
"Vancouver","2025-01-02",2025,"Jan",29,72,"Kill Bill","SZA","","","",""
"Vancouver","2025-01-02",2025,"Jan",30,71,"I Remember Everything (feat. Kacey Musgraves)","Zach Bryan, Kacey Musgraves","","","",""
"Vancouver","2025-01-02",2025,"Jan",31,70,"Not Like Us","Kendrick Lamar","","","",""
"Vancouver","2025-01-02",2025,"Jan",32,69,"Austin (Boots Stop Workin')","Dasha","","","",""
"Vancouver","2025-01-02",2025,"Jan",33,68,"Bed Chem","Sabrina Carpenter","","","",""
"Vancouver","2025-01-02",2025,"Jan",34,67,"we can't be friends (wait for your love)","Ariana Grande","","","",""
"Vancouver","2025-01-02",2025,"Jan",35,66,"Pink Pony Club","Chappell Roan","","","",""
"Vancouver","2025-01-02",2025,"Jan",36,65,"Saturn","SZA","","","",""
"Vancouver","2025-01-02",2025,"Jan",37,64,"Love Somebody","Morgan Wallen","","","",""
"Vancouver","2025-01-02",2025,"Jan",38,63,"WILDFLOWER","Billie Eilish","","","",""
"Vancouver","2025-01-02",2025,"Jan",39,62,"Something in the Orange","Zach Bryan","","","",""
"Vancouver","2025-01-02",2025,"Jan",40,61,"Dreams - 2004 Remaster","Fleetwood Mac","","","",""
"Vancouver","2025-01-02",2025,"Jan",41,60,"Fortnight (feat. Post Malone)","Taylor Swift, Post Malone","","","",""
"Vancouver","2025-01-02",2025,"Jan",42,59,"Stargazing","Myles Smith","","","",""
"Vancouver","2025-01-02",2025,"Jan",43,58,"toxic till the end","ROSÉ","","","",""
"Vancouver","2025-01-02",2025,"Jan",44,57,"What Do I Do","SZA","","","",""
"Vancouver","2025-01-02",2025,"Jan",45,56,"Close To You","Gracie Abrams","","","",""
"Vancouver","2025-01-02",2025,"Jan",46,55,"Scorsese Baby Daddy","SZA","","","",""
"Vancouver","2025-01-02",2025,"Jan",47,54,"Pink Skies","Zach Bryan","","","",""
"Vancouver","2025-01-02",2025,"Jan",48,53,"No Pole","Don Toliver","","","",""
"Vancouver","2025-01-02",2025,"Jan",49,52,"Guess featuring billie eilish","Charli xcx, Billie Eilish","","","",""
"Vancouver","2025-01-02",2025,"Jan",50,51,"Diet Pepsi","Addison Rae","","","",""
"Vancouver","2025-01-02",2025,"Jan",51,50,"Scared To Start","Michael Marcagi","","","",""
"Vancouver","2025-01-02",2025,"Jan",52,49,"End of Beginning","Djo","","","",""
"Vancouver","2025-01-02",2025,"Jan",53,48,"Last Night","Morgan Wallen","","","",""
"Vancouver","2025-01-02",2025,"Jan",54,47,"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA","","","",""
"Vancouver","2025-01-02",2025,"Jan",55,46,"Wavy","Karan Aujla, Jay Trak","","","",""
"Vancouver","2025-01-02",2025,"Jan",56,45,"Yellow","Coldplay","","","",""
"Vancouver","2025-01-02",2025,"Jan",57,44,"Another Life","SZA","","","",""
"Vancouver","2025-01-02",2025,"Jan",58,43,"Heading South","Zach Bryan","","","",""
"Vancouver","2025-01-02",2025,"Jan",59,42,"Take Me to Church","Hozier","","","",""
"Vancouver","2025-01-02",2025,"Jan",60,41,"Mr. Brightside","The Killers","","","",""
"Vancouver","2025-01-02",2025,"Jan",61,40,"Cowgirls","Morgan Wallen, ERNEST","","","",""
"Vancouver","2025-01-02",2025,"Jan",62,39,"Nonsense","Sabrina Carpenter","","","",""
"Vancouver","2025-01-02",2025,"Jan",63,38,"Ain't No Love In Oklahoma (From Twisters: The Album)","Luke Combs","","","",""
"Vancouver","2025-01-02",2025,"Jan",64,37,"Don't Stop Believin' (2022 Remaster)","Journey","","","",""
"Vancouver","2025-01-02",2025,"Jan",65,36,"greedy","Tate McRae","","","",""
"Vancouver","2025-01-02",2025,"Jan",66,35,"Nobody Gets Me","SZA","","","",""
"Vancouver","2025-01-02",2025,"Jan",67,34,"on one tonight","Gunna","","","",""
"Vancouver","2025-01-02",2025,"Jan",68,33,"See You Again (feat. Kali Uchis)","Tyler, The Creator, Kali Uchis","","","",""
"Vancouver","2025-01-02",2025,"Jan",69,32,"That's What I Like","Bruno Mars","","","",""
"Vancouver","2025-01-02",2025,"Jan",70,31,"WHATCHU KNO ABOUT ME (feat. Sexyy Red)","GloRilla, Sexyy Red","","","",""
"Vancouver","2025-01-02",2025,"Jan",71,30,"Viva La Vida","Coldplay","","","",""
"Vancouver","2025-01-02",2025,"Jan",72,29,"Riptide","Vance Joy","","","",""
"Vancouver","2025-01-02",2025,"Jan",73,28,"Just the Way You Are","Bruno Mars","","","",""
"Vancouver","2025-01-02",2025,"Jan",74,27,"I Can Do It With a Broken Heart","Taylor Swift","","","",""
"Vancouver","2025-01-02",2025,"Jan",75,26,"NIGHTS LIKE THIS","The Kid LAROI","","","",""
"Vancouver","2025-01-02",2025,"Jan",76,25,"Flowers","Miley Cyrus","","","",""
"Vancouver","2025-01-02",2025,"Jan",77,24,"Bad Dreams","Teddy Swims","","","",""
"Vancouver","2025-01-02",2025,"Jan",78,23,"Iris","The Goo Goo Dolls","","","",""
"Vancouver","2025-01-02",2025,"Jan",79,22,"Sweater Weather","The Neighbourhood","","","",""
"Vancouver","2025-01-02",2025,"Jan",80,21,"Diamond Boy (DTM)","SZA","","","",""
"Vancouver","2025-01-02",2025,"Jan",81,20,"Juno","Sabrina Carpenter","","","",""
"Vancouver","2025-01-02",2025,"Jan",82,19,"Risk","Gracie Abrams","","","",""
"Vancouver","2025-01-02",2025,"Jan",83,18,"Like Him (feat. Lola Young)","Tyler, The Creator, Lola Young","","","",""
"Vancouver","2025-01-02",2025,"Jan",84,17,"Pink + White","Frank Ocean","","","",""
"Vancouver","2025-01-02",2025,"Jan",85,16,"Kitchen","SZA","","","",""
"Vancouver","2025-01-02",2025,"Jan",86,15,"Red Wine Supernova","Chappell Roan","","","",""
"Vancouver","2025-01-02",2025,"Jan",87,14,"Crybaby","SZA","","","",""
"Vancouver","2025-01-02",2025,"Jan",88,13,"Drive","SZA","","","",""
"Vancouver","2025-01-02",2025,"Jan",89,12,"Lovin On Me","Jack Harlow","","","",""
"Vancouver","2025-01-02",2025,"Jan",90,11,"Miles On It","Marshmello, Kane Brown","","","",""
"Vancouver","2025-01-02",2025,"Jan",91,10,"Locked out of Heaven","Bruno Mars","","","",""
"Vancouver","2025-01-02",2025,"Jan",92,9,"The Door","Teddy Swims","","","",""
"Vancouver","2025-01-02",2025,"Jan",93,8,"Blinding Lights","The Weeknd","","","",""
"Vancouver","2025-01-02",2025,"Jan",94,7,"i like the way you kiss me","Artemas","","","",""
"Vancouver","2025-01-02",2025,"Jan",95,6,"Like That","Future, Metro Boomin, Kendrick Lamar","","","",""
"Vancouver","2025-01-02",2025,"Jan",96,5,"Something Just Like This","The Chainsmokers, Coldplay","","","",""
"Vancouver","2025-01-02",2025,"Jan",97,4,"No One Noticed","The Marías","","","",""
"Vancouver","2025-01-02",2025,"Jan",98,3,"For What It's Worth","Buffalo Springfield","","","",""
"Vancouver","2025-01-02",2025,"Jan",99,2,"Every Breath You Take","The Police","","","",""
"Vancouver","2025-01-02",2025,"Jan",100,1,"Open Arms (feat. Travis Scott)","SZA, Travis Scott","","","",""
"Vancouver","2025-01-09",2025,"Jan",1,100,"That’s So True","Gracie Abrams","","","",""
"Vancouver","2025-01-09",2025,"Jan",2,99,"APT.","ROSÉ, Bruno Mars","","","",""
"Vancouver","2025-01-09",2025,"Jan",3,98,"Die With A Smile","Lady Gaga, Bruno Mars","","","",""
"Vancouver","2025-01-09",2025,"Jan",4,97,"luther (with sza)","Kendrick Lamar, SZA","","","",""
"Vancouver","2025-01-09",2025,"Jan",5,96,"BIRDS OF A FEATHER","Billie Eilish","","","",""
"Vancouver","2025-01-09",2025,"Jan",6,95,"Good Luck, Babe!","Chappell Roan","","","",""
"Vancouver","2025-01-09",2025,"Jan",7,94,"BMF","SZA","","","",""
"Vancouver","2025-01-09",2025,"Jan",8,93,"Messy","Lola Young","","","",""
"Vancouver","2025-01-09",2025,"Jan",9,92,"Espresso","Sabrina Carpenter","","","",""
"Vancouver","2025-01-09",2025,"Jan",10,91,"Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","","","",""
"Vancouver","2025-01-09",2025,"Jan",11,90,"A Bar Song (Tipsy)","Shaboozey","","","",""
"Vancouver","2025-01-09",2025,"Jan",12,89,"I Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen","","","",""
"Vancouver","2025-01-09",2025,"Jan",13,88,"Taste","Sabrina Carpenter","","","",""
"Vancouver","2025-01-09",2025,"Jan",14,87,"tv off (feat. lefty gunplay)","Kendrick Lamar, Lefty Gunplay","","","",""
"Vancouver","2025-01-09",2025,"Jan",15,86,"Lose Control","Teddy Swims","","","",""
"Vancouver","2025-01-09",2025,"Jan",16,85,"Sailor Song","Gigi Perez","","","",""
"Vancouver","2025-01-09",2025,"Jan",17,84,"Smile","Morgan Wallen","","","",""
"Vancouver","2025-01-09",2025,"Jan",18,83,"Too Sweet","Hozier","","","",""
"Vancouver","2025-01-09",2025,"Jan",19,82,"Please Please Please","Sabrina Carpenter","","","",""
"Vancouver","2025-01-09",2025,"Jan",20,81,"I Love You, I'm Sorry","Gracie Abrams","","","",""
"Vancouver","2025-01-09",2025,"Jan",21,80,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","","","",""
"Vancouver","2025-01-09",2025,"Jan",22,79,"Stick Season","Noah Kahan","","","",""
"Vancouver","2025-01-09",2025,"Jan",23,78,"For 30 (with Kendrick Lamar)","SZA, Kendrick Lamar","","","",""
"Vancouver","2025-01-09",2025,"Jan",24,77,"squabble up","Kendrick Lamar","","","",""
"Vancouver","2025-01-09",2025,"Jan",25,76,"Beautiful Things","Benson Boone","","","",""
"Vancouver","2025-01-09",2025,"Jan",26,75,"Snooze","SZA","","","",""
"Vancouver","2025-01-09",2025,"Jan",27,74,"Cruel Summer","Taylor Swift","","","",""
"Vancouver","2025-01-09",2025,"Jan",28,73,"Kill Bill","SZA","","","",""
"Vancouver","2025-01-09",2025,"Jan",29,72,"Love Somebody","Morgan Wallen","","","",""
"Vancouver","2025-01-09",2025,"Jan",30,71,"Bed Chem","Sabrina Carpenter","","","",""
"Vancouver","2025-01-09",2025,"Jan",31,70,"we can't be friends (wait for your love)","Ariana Grande","","","",""
"Vancouver","2025-01-09",2025,"Jan",32,69,"MILLION DOLLAR BABY","Tommy Richman","","","",""
"Vancouver","2025-01-09",2025,"Jan",33,68,"WILDFLOWER","Billie Eilish","","","",""
"Vancouver","2025-01-09",2025,"Jan",34,67,"HOT TO GO!","Chappell Roan","","","",""
"Vancouver","2025-01-09",2025,"Jan",35,66,"Pink Pony Club","Chappell Roan","","","",""
"Vancouver","2025-01-09",2025,"Jan",36,65,"Not Like Us","Kendrick Lamar","","","",""
"Vancouver","2025-01-09",2025,"Jan",37,64,"No Pole","Don Toliver","","","",""
"Vancouver","2025-01-09",2025,"Jan",38,63,"What Do I Do","SZA","","","",""
"Vancouver","2025-01-09",2025,"Jan",39,62,"Dreams - 2004 Remaster","Fleetwood Mac","","","",""
"Vancouver","2025-01-09",2025,"Jan",40,61,"Saturn","SZA","","","",""
"Vancouver","2025-01-09",2025,"Jan",41,60,"DENIAL IS A RIVER","Doechii","","","",""
"Vancouver","2025-01-09",2025,"Jan",42,59,"Close To You","Gracie Abrams","","","",""
"Vancouver","2025-01-09",2025,"Jan",43,58,"Scorsese Baby Daddy","SZA","","","",""
"Vancouver","2025-01-09",2025,"Jan",44,57,"Pink Skies","Zach Bryan","","","",""
"Vancouver","2025-01-09",2025,"Jan",45,56,"Stargazing","Myles Smith","","","",""
"Vancouver","2025-01-09",2025,"Jan",46,55,"Slow It Down","Benson Boone","","","",""
"Vancouver","2025-01-09",2025,"Jan",47,54,"I Remember Everything (feat. Kacey Musgraves)","Zach Bryan, Kacey Musgraves","","","",""
"Vancouver","2025-01-09",2025,"Jan",48,53,"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA","","","",""
"Vancouver","2025-01-09",2025,"Jan",49,52,"Fortnight (feat. Post Malone)","Taylor Swift, Post Malone","","","",""
"Vancouver","2025-01-09",2025,"Jan",50,51,"Yellow","Coldplay","","","",""
"Vancouver","2025-01-09",2025,"Jan",51,50,"toxic till the end","ROSÉ","","","",""
"Vancouver","2025-01-09",2025,"Jan",52,49,"Austin (Boots Stop Workin')","Dasha","","","",""
"Vancouver","2025-01-09",2025,"Jan",53,48,"See You Again (feat. Kali Uchis)","Tyler, The Creator, Kali Uchis","","","",""
"Vancouver","2025-01-09",2025,"Jan",54,47,"Dum, Dumb, and Dumber (with Young Thug & Future)","Lil Baby, Young Thug, Future","","","",""
"Vancouver","2025-01-09",2025,"Jan",55,46,"Bad Dreams","Teddy Swims","","","",""
"Vancouver","2025-01-09",2025,"Jan",56,45,"Sweater Weather","The Neighbourhood","","","",""
"Vancouver","2025-01-09",2025,"Jan",57,44,"Take Me to Church","Hozier","","","",""
"Vancouver","2025-01-09",2025,"Jan",58,43,"Tweaker","GELO","","","",""
"Vancouver","2025-01-09",2025,"Jan",59,42,"Viva La Vida","Coldplay","","","",""
"Vancouver","2025-01-09",2025,"Jan",60,41,"Like Him (feat. Lola Young)","Tyler, The Creator, Lola Young","","","",""
"Vancouver","2025-01-09",2025,"Jan",61,40,"Another Life","SZA","","","",""
"Vancouver","2025-01-09",2025,"Jan",62,39,"End of Beginning","Djo","","","",""
"Vancouver","2025-01-09",2025,"Jan",63,38,"Last Night","Morgan Wallen","","","",""
"Vancouver","2025-01-09",2025,"Jan",64,37,"The Door","Teddy Swims","","","",""
"Vancouver","2025-01-09",2025,"Jan",65,36,"Wake Me Up","Avicii","","","",""
"Vancouver","2025-01-09",2025,"Jan",66,35,"Diet Pepsi","Addison Rae","","","",""
"Vancouver","2025-01-09",2025,"Jan",67,34,"Don't Stop Believin' (2022 Remaster)","Journey","","","",""
"Vancouver","2025-01-09",2025,"Jan",68,33,"Risk","Gracie Abrams","","","",""
"Vancouver","2025-01-09",2025,"Jan",69,32,"Something in the Orange","Zach Bryan","","","",""
"Vancouver","2025-01-09",2025,"Jan",70,31,"Cowgirls","Morgan Wallen, ERNEST","","","",""
"Vancouver","2025-01-09",2025,"Jan",71,30,"Nobody Gets Me","SZA","","","",""
